	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score	Iteration
0	0.6020409107208252	0.019623698036548065	0.03502945899963379	0.0063135459050920155	60	log2	2	20	1100	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 1100}	0.875	0.75	0.7887323943661971	0.8028169014084507	0.9295774647887324	0.8309859154929577	0.8309859154929577	0.7887323943661971	0.7464788732394366	0.8028169014084507	0.814612676056338	0.05275847707612668	32	0.8671875	0.8875	0.8673946957878315	0.8705148205928237	0.8798751950078003	0.8720748829953198	0.8705148205928237	0.8861154446177847	0.8861154446177847	0.8829953198127926	0.8770288124024962	0.007858459596254128	0
1	0.43472743034362793	0.015360393203054278	0.027463293075561522	0.006221108200258487	60	log2	2	20	800	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 800}	0.875	0.75	0.7746478873239436	0.8028169014084507	0.9154929577464789	0.8169014084507042	0.8309859154929577	0.8028169014084507	0.7605633802816901	0.7887323943661971	0.8117957746478874	0.04864032304158928	56	0.8734375	0.8875	0.8689547581903276	0.8705148205928237	0.8783151326053042	0.8783151326053042	0.8689547581903276	0.8861154446177847	0.8861154446177847	0.8798751950078003	0.8778098186427457	0.006824963607491444	0
2	0.2746713399887085	0.02022633973618625	0.014768481254577637	0.0023614767425553934	60	log2	2	20	500	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 500}	0.875	0.75	0.8028169014084507	0.8028169014084507	0.9154929577464789	0.8450704225352113	0.8309859154929577	0.7887323943661971	0.7887323943661971	0.8028169014084507	0.8202464788732394	0.045424241151500205	2	0.8671875	0.884375	0.8720748829953198	0.8720748829953198	0.8736349453978159	0.8720748829953198	0.8658346333853354	0.8861154446177847	0.8845553822152886	0.8814352574102964	0.875936281201248	0.0071271788272873	0
3	0.6245448112487793	0.056844725713461476	0.030980992317199706	0.0021268854702963034	60	log2	2	10	1100	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 1100}	0.9027777777777778	0.7361111111111112	0.7887323943661971	0.8309859154929577	0.9014084507042254	0.8169014084507042	0.8309859154929577	0.7605633802816901	0.7323943661971831	0.7746478873239436	0.8075508607198747	0.05784457572024657	97	0.89375	0.9	0.8954758190327613	0.8970358814352574	0.890795631825273	0.8970358814352574	0.8954758190327613	0.8954758190327613	0.9017160686427457	0.8954758190327613	0.8962236739469578	0.0028907827992206096	0
4	0.45932183265686033	0.03908289256084711	0.026275825500488282	0.006386563804019317	60	log2	2	10	800	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 800}	0.8888888888888888	0.7361111111111112	0.7887323943661971	0.8309859154929577	0.8873239436619719	0.8309859154929577	0.8309859154929577	0.7605633802816901	0.7464788732394366	0.7605633802816901	0.806161971830986	0.05311416160727866	102	0.89375	0.8984375	0.8954758190327613	0.9001560062402496	0.890795631825273	0.9001560062402496	0.8923556942277691	0.9017160686427457	0.9017160686427457	0.8954758190327613	0.8970034613884554	0.0037648659988955067	0
5	0.2855810642242432	0.019784523621097033	0.015253949165344238	0.0024195397718781036	60	log2	2	10	500	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}	0.8888888888888888	0.7222222222222222	0.7746478873239436	0.8450704225352113	0.8873239436619719	0.8169014084507042	0.8309859154929577	0.7746478873239436	0.7323943661971831	0.7746478873239436	0.804773082942097	0.055788980399595185	107	0.8890625	0.903125	0.8954758190327613	0.8970358814352574	0.8954758190327613	0.9001560062402496	0.890795631825273	0.9017160686427457	0.9048361934477379	0.8985959438377535	0.897627486349454	0.004856732549198624	0
6	0.6031903982162475	0.05201227092232205	0.030563974380493165	0.0018571953000949477	60	log2	1	20	1100	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 1100}	0.875	0.7638888888888888	0.7887323943661971	0.8169014084507042	0.9295774647887324	0.8309859154929577	0.8169014084507042	0.8028169014084507	0.7746478873239436	0.8028169014084507	0.820226917057903	0.04684554470299321	5	0.8765625	0.8890625	0.8783151326053042	0.8767550702028081	0.8829953198127926	0.8798751950078003	0.8720748829953198	0.8892355694227769	0.8892355694227769	0.8876755070202809	0.8821787246489861	0.006009535246710219	0
7	0.4535015106201172	0.029255199053212246	0.026004815101623537	0.005753238912524586	60	log2	1	20	800	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 800}	0.875	0.75	0.8028169014084507	0.8028169014084507	0.9154929577464789	0.8169014084507042	0.8169014084507042	0.8028169014084507	0.7605633802816901	0.8028169014084507	0.814612676056338	0.046353664577869776	32	0.86875	0.8875	0.8767550702028081	0.8736349453978159	0.8861154446177847	0.8783151326053042	0.8705148205928237	0.8876755070202809	0.8876755070202809	0.8861154446177847	0.8803051872074883	0.007199695448201384	0
8	0.27929704189300536	0.014897128477691274	0.022830104827880858	0.011937322443966775	60	log2	1	20	500	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 500}	0.875	0.7638888888888888	0.7746478873239436	0.7887323943661971	0.9154929577464789	0.8169014084507042	0.8309859154929577	0.8028169014084507	0.7746478873239436	0.8028169014084507	0.8145931142410016	0.04562030075179436	38	0.8703125	0.890625	0.8798751950078003	0.8736349453978159	0.8876755070202809	0.8845553822152886	0.8705148205928237	0.8892355694227769	0.8892355694227769	0.8798751950078003	0.8815539684087363	0.007505732505327961	0
9	0.6342182636260987	0.05385936576481087	0.03416166305541992	0.007386136953688527	60	log2	1	10	1100	{'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 1100}	0.8888888888888888	0.7222222222222222	0.8028169014084507	0.8309859154929577	0.9014084507042254	0.8169014084507042	0.8591549295774648	0.7746478873239436	0.7323943661971831	0.7464788732394366	0.8075899843505476	0.06040612558004416	91	0.8921875	0.909375	0.9032761310452418	0.906396255850234	0.8985959438377535	0.9048361934477379	0.9032761310452418	0.9032761310452418	0.9126365054602185	0.9048361934477379	0.9038691985179407	0.0052986807829577395	0
