	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_n_estimators	param_min_samples_split	param_min_samples_leaf	param_max_features	param_max_depth	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score	Iteration
0	0.821445631980896	0.04768236874728627	0.04103031158447266	0.004598484640601674	1400	10	4	log2	40	{'n_estimators': 1400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 40}	0.8888888888888888	0.75	0.7887323943661971	0.8450704225352113	0.8591549295774648	0.8309859154929577	0.8309859154929577	0.7887323943661971	0.7605633802816901	0.7746478873239436	0.811776212832551	0.043493953309857294	9	0.871875	0.884375	0.875195007800312	0.8829953198127926	0.8845553822152886	0.8861154446177847	0.8798751950078003	0.8892355694227769	0.890795631825273	0.8861154446177847	0.8831132995319813	0.005636449408015928	0
1	1.1598923683166504	0.07156036734626103	0.08460817337036133	0.03535269487878324	2000	10	4	sqrt	100	{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 100}	0.8888888888888888	0.75	0.7887323943661971	0.8450704225352113	0.8732394366197183	0.8309859154929577	0.8309859154929577	0.7746478873239436	0.7605633802816901	0.7887323943661971	0.8131846635367763	0.045199986160677934	5	0.8703125	0.8890625	0.8736349453978159	0.8783151326053042	0.8845553822152886	0.8876755070202809	0.8736349453978159	0.8892355694227769	0.8892355694227769	0.8876755070202809	0.882333755850234	0.007173205876177362	0
2	1.4376685857772826	0.18006936884785277	0.05290701389312744	0.008825611704274795	1700	2	2	sqrt	80	{'n_estimators': 1700, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 80}	0.9027777777777778	0.75	0.8028169014084507	0.8028169014084507	0.8732394366197183	0.8309859154929577	0.8732394366197183	0.7464788732394366	0.7323943661971831	0.7605633802816901	0.8075312989045385	0.05761108717792501	14	0.915625	0.925	0.9173166926677067	0.9188767550702028	0.9141965678627145	0.9235569422776911	0.9157566302652106	0.9173166926677067	0.9204368174726989	0.9141965678627145	0.9182278666146646	0.0035581806730231452	0
3	0.13007402420043945	0.03285205662679832	0.00735163688659668	0.0025902186557206176	200	2	4	sqrt	20	{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 20}	0.9027777777777778	0.7638888888888888	0.7887323943661971	0.8450704225352113	0.9014084507042254	0.8169014084507042	0.8309859154929577	0.7464788732394366	0.7746478873239436	0.7746478873239436	0.8145539906103286	0.05252316453981815	3	0.875	0.8859375	0.8783151326053042	0.8845553822152886	0.890795631825273	0.8845553822152886	0.8876755070202809	0.8892355694227769	0.890795631825273	0.8892355694227769	0.8856101306552262	0.005024502613326957	0
4	0.7155542135238647	0.07594630065165459	0.0362656831741333	0.009310632294113377	1100	5	2	sqrt		{'n_estimators': 1100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}	0.9027777777777778	0.75	0.7887323943661971	0.8169014084507042	0.8732394366197183	0.8169014084507042	0.8732394366197183	0.7464788732394366	0.7323943661971831	0.7605633802816901	0.8061228482003131	0.05753691242602996	18	0.9109375	0.915625	0.9157566302652106	0.9141965678627145	0.9095163806552262	0.9188767550702028	0.9141965678627145	0.9110764430577223	0.9141965678627145	0.9110764430577223	0.9135454855694226	0.00272278014297226	0
5	0.12044417858123779	0.007701303504436135	0.007198190689086914	0.0014029709682401449	200	2	1	sqrt	110	{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 110}	0.8888888888888888	0.7777777777777778	0.8028169014084507	0.7887323943661971	0.8450704225352113	0.8169014084507042	0.8450704225352113	0.7183098591549296	0.7183098591549296	0.7183098591549296	0.7920187793427231	0.0567988887948895	25	0.9875	0.9890625	0.984399375975039	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9875195007800313	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9870478256630264	0.0015650686793253384	0
6	0.4895185947418213	0.03591372219026897	0.024902915954589842	0.003929466397907607	800	10	1	sqrt	50	{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 50}	0.9027777777777778	0.7361111111111112	0.8028169014084507	0.8450704225352113	0.8873239436619719	0.8309859154929577	0.8591549295774648	0.7746478873239436	0.7323943661971831	0.7605633802816901	0.8131846635367763	0.05813724127133992	5	0.896875	0.90625	0.9017160686427457	0.9017160686427457	0.9017160686427457	0.9017160686427457	0.9079563182527302	0.906396255850234	0.9095163806552262	0.9001560062402496	0.9034014235569423	0.0037378041277170014	0
7	0.802510142326355	0.06320156967887086	0.04777016639709473	0.01135919368372189	1400	20	4	log2	90	{'n_estimators': 1400, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 90}	0.875	0.75	0.7887323943661971	0.8028169014084507	0.8873239436619719	0.8450704225352113	0.8169014084507042	0.8028169014084507	0.7746478873239436	0.7887323943661971	0.8132042253521128	0.04151683202987993	4	0.859375	0.875	0.8673946957878315	0.8611544461778471	0.8720748829953198	0.8689547581903276	0.8673946957878315	0.8798751950078003	0.8736349453978159	0.8720748829953198	0.8696933502340093	0.005909352253192206	0
8	0.4946024179458618	0.056223450964138215	0.028177952766418456	0.00487479095648723	800	10	4	log2	50	{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 50}	0.9027777777777778	0.75	0.7887323943661971	0.8450704225352113	0.8591549295774648	0.8309859154929577	0.8309859154929577	0.7746478873239436	0.7464788732394366	0.7605633802816901	0.8089397496087638	0.04990433799915629	12	0.8703125	0.890625	0.8736349453978159	0.8798751950078003	0.8861154446177847	0.8814352574102964	0.875195007800312	0.8861154446177847	0.890795631825273	0.8876755070202809	0.8821779933697348	0.006893732955251885	0
9	0.12546982765197753	0.015684324722136544	0.006336379051208496	0.0006047066033385158	200	10	2	log2		{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None}	0.875	0.7222222222222222	0.7887323943661971	0.8450704225352113	0.9154929577464789	0.8309859154929577	0.8169014084507042	0.7605633802816901	0.7464788732394366	0.7605633802816901	0.806201095461659	0.05831600261158372	16	0.884375	0.903125	0.8985959438377535	0.8970358814352574	0.890795631825273	0.8939157566302652	0.8892355694227769	0.9001560062402496	0.9032761310452418	0.8923556942277691	0.8952866614664586	0.005910263793578404	0
