	mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_n_estimators	param_min_samples_split	param_min_samples_leaf	param_max_features	param_max_depth	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	split5_test_score	split6_test_score	split7_test_score	split8_test_score	split9_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	split5_train_score	split6_train_score	split7_train_score	split8_train_score	split9_train_score	mean_train_score	std_train_score	Iteration
0	1.087408709526062	0.033947600734460355	0.0592764139175415	0.005517618026722389	2000	20	1	log2	90	{'n_estimators': 2000, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 90}	0.875	0.75	0.8028169014084507	0.8028169014084507	0.9154929577464789	0.8309859154929577	0.8309859154929577	0.8028169014084507	0.7605633802816901	0.8028169014084507	0.8174295774647886	0.0468326405510932	3	0.86875	0.89375	0.8767550702028081	0.8736349453978159	0.8814352574102964	0.8783151326053042	0.8705148205928237	0.8892355694227769	0.8954758190327613	0.8861154446177847	0.8813982059282373	0.008967616415908167	0
1	1.0576327800750733	0.07365222837577236	0.06007990837097168	0.005338202229021884	1700	2	1	log2	50	{'n_estimators': 1700, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 50}	0.8888888888888888	0.7777777777777778	0.8028169014084507	0.7746478873239436	0.8450704225352113	0.8028169014084507	0.8591549295774648	0.7183098591549296	0.7183098591549296	0.7183098591549296	0.7906103286384978	0.058071066758355494	24	0.9875	0.9890625	0.984399375975039	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9875195007800313	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9870478256630264	0.0015650686793253384	0
2	0.8688337326049804	0.028981728804675783	0.048434996604919435	0.006583072605137425	1400	2	1	sqrt	60	{'n_estimators': 1400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 60}	0.8888888888888888	0.7777777777777778	0.8028169014084507	0.7746478873239436	0.8732394366197183	0.8169014084507042	0.8591549295774648	0.704225352112676	0.7183098591549296	0.7323943661971831	0.7948356807511737	0.06192300601105896	20	0.9875	0.9890625	0.984399375975039	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9875195007800313	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9870478256630264	0.0015650686793253384	0
3	0.28195693492889407	0.01602659624965074	0.014114570617675782	0.0001829167103387141	500	5	4	sqrt	110	{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 110}	0.8888888888888888	0.75	0.8028169014084507	0.8450704225352113	0.8873239436619719	0.8309859154929577	0.8309859154929577	0.7746478873239436	0.7605633802816901	0.7887323943661971	0.8160015649452269	0.04663761600382583	5	0.8765625	0.8953125	0.8861154446177847	0.8814352574102964	0.8861154446177847	0.8861154446177847	0.8814352574102964	0.8923556942277691	0.890795631825273	0.8829953198127926	0.8859238494539781	0.005383919040913451	0
4	0.2847444534301758	0.01778715532957904	0.015239810943603516	0.003006195114697029	500	20	4	log2	80	{'n_estimators': 500, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 80}	0.875	0.75	0.8028169014084507	0.8028169014084507	0.8873239436619719	0.8309859154929577	0.8169014084507042	0.7887323943661971	0.7605633802816901	0.7887323943661971	0.810387323943662	0.04212163984398284	10	0.859375	0.8703125	0.8611544461778471	0.8611544461778471	0.8705148205928237	0.8673946957878315	0.8658346333853354	0.8783151326053042	0.875195007800312	0.8736349453978159	0.8682885627925117	0.006114990160163425	0
5	0.8539735794067382	0.0329186404147185	0.05212457180023193	0.011525428930592928	1400	2	1	log2	90	{'n_estimators': 1400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 90}	0.8888888888888888	0.7777777777777778	0.8028169014084507	0.7746478873239436	0.8591549295774648	0.8169014084507042	0.8591549295774648	0.7183098591549296	0.7183098591549296	0.7323943661971831	0.7948356807511737	0.05829268674949207	20	0.9875	0.9890625	0.984399375975039	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9875195007800313	0.9890795631825273	0.9859594383775351	0.9859594383775351	0.9870478256630264	0.0015650686793253384	0
6	0.8449578523635864	0.042981612122583814	0.0488236665725708	0.009457639191112232	1400	2	4	sqrt	40	{'n_estimators': 1400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 40}	0.8888888888888888	0.75	0.7887323943661971	0.8450704225352113	0.8873239436619719	0.8309859154929577	0.8309859154929577	0.7746478873239436	0.7464788732394366	0.7887323943661971	0.8131846635367763	0.0489909252662919	8	0.8734375	0.8921875	0.8829953198127926	0.8845553822152886	0.8876755070202809	0.8876755070202809	0.8767550702028081	0.8923556942277691	0.8923556942277691	0.8845553822152886	0.8854548556942279	0.006149835414162477	0
7	1.0160645246505737	0.1290405157334956	0.05765330791473389	0.020193306159551633	1400	10	1	sqrt	100	{'n_estimators': 1400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 100}	0.9027777777777778	0.7361111111111112	0.7887323943661971	0.8450704225352113	0.8873239436619719	0.8169014084507042	0.8591549295774648	0.7746478873239436	0.7323943661971831	0.7464788732394366	0.8089593114241002	0.05957253379455019	13	0.896875	0.9046875	0.9032761310452418	0.9079563182527302	0.9017160686427457	0.906396255850234	0.9048361934477379	0.9032761310452418	0.9110764430577223	0.9032761310452418	0.9043372172386895	0.0035924808958828977	0
8	0.3350502014160156	0.04028167740448103	0.019119882583618165	0.007150637606000508	500	2	2	log2	110	{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 110}	0.9027777777777778	0.7361111111111112	0.7746478873239436	0.8028169014084507	0.8732394366197183	0.8309859154929577	0.8732394366197183	0.7464788732394366	0.7323943661971831	0.7464788732394366	0.8019170579029733	0.06103005490907841	19	0.9140625	0.921875	0.9110764430577223	0.9188767550702028	0.9157566302652106	0.9188767550702028	0.9204368174726989	0.9157566302652106	0.9204368174726989	0.9188767550702028	0.9176031103744149	0.003180057089390226	0
9	0.5226939916610718	0.05858577181317455	0.030962657928466798	0.01287531639296397	800	10	2	log2	40	{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 40}	0.8888888888888888	0.7361111111111112	0.7887323943661971	0.8309859154929577	0.8873239436619719	0.8309859154929577	0.8309859154929577	0.7746478873239436	0.7464788732394366	0.7605633802816901	0.8075704225352114	0.05206266442434185	15	0.8890625	0.9015625	0.9001560062402496	0.9001560062402496	0.8970358814352574	0.8939157566302652	0.890795631825273	0.9032761310452418	0.9032761310452418	0.8970358814352574	0.8976272425897036	0.00476020681245906	0
